index,category,reviews,price,location,country
0,hike,5,0,Jose Bove Solana,Argentina
1,beach,3.5,0,Mar Cel i Terra,Argentina
2,remote-villages,3,0,Av. Mare de Déu de Montserrat - França,Argentina
3,river-side,5,0,Lasercity 2000 s.l.,Argentina
4,hill-station,5,0,Analisis Clinicos Dr Almeida SL,Argentina
5,tour,5,0,Farmacia Pérez,Argentina
6,hike,4,0,Farmacia Rodríguez Alsina,Argentina
7,bike-rides,5,0,Tendentcia Clinica Dental SLP,Argentina
8,remote-villages,4.5,0,JESUÏTES GRÀCIA - Col·legi Kostka,Argentina
9,remote-villages,2,0,Pg. Maragall - Ronda Guinardó,Argentina
10,mountain-view,4,0,Caire-República Argentina,Argentina
11,lake,5,0,Can Sauró direcció Mas Guimbau,Argentina
12,hill-station,5,0,Almogàvers-Roger de Flor,Argentina
13,honeymoon-destination,4.5,0,Depilacion Laser - Fotodepilación Barcelona,Argentina
14,river-side,5,0,KINEOSTEO SPORTS MEDICINE,Argentina
15,cities,5,0,Escuela de Danza Isa Moren,Argentina
16,lake,3,0,Guardia Urbana de Barcelona,Argentina
17,world-heritage,5,0,Juan Tondo Solagrán,Argentina
18,river-side,4,0,clinica dental abcdental,Argentina
19,river-side,2.5,0,Centre de Fisioterapia Punt Terapeutic,Argentina
20,remote-villages,2,0,Pediatria,Argentina
21,cultural-sites,5,0,"Centro de Psicología ""La Familia""",Argentina
22,remote-villages,2.5,0,BCN Clinica Veterinaria,Argentina
23,cultural-sites,3.5,0,Clinica Llor Farre SL,Argentina
24,mountain-climb,4,0,Cáritas Diocesana de Barcelona,Argentina
25,cultural-sites,4.5,0,CLINICA DENTAL ECHEVERRIA,Argentina
26,river-side,3.5,0,Clinica Dental Bea SL,Argentina
27,beach,2,0,Fitt Entrenamiento Personal,Argentina
28,world-heritage,4,0,Dr. Carreño,Argentina
29,river-side,2,0,Clínica Dental Clide,Argentina
30,beach,4.5,0,Farmacia Foraster Roselló,Argentina
31,adventure-sports,2,0,Laboratorios Boniquet,Argentina
32,beach,4.5,0,Dental Clinics,Argentina
33,world-heritage,3,0,Aribau-Travessera de Gràcia,Argentina
34,beach,4.5,0,Foc-Ferro,Argentina
35,home-stay,1.5,0,Defensa Personal Defiéndete Mujer,Argentina
36,adventure-sports,5,0,Antonio Sabala Durán,Argentina
37,bike-rides,4.5,0,Casp 34,Argentina
38,base-camp,5,0,Sol Alberto,Argentina
39,honeymoon-destination,3,0,Marc Hernandez,Argentina
40,hill-station,5,0,Univet,Argentina
41,beach,4.5,0,SpanishJuice,Argentina
42,river-side,2,0,DR.SERRAT cirugia estetica,Argentina
43,lake,3,0,Dexeus Salud de la Mujer,Argentina
44,beach,4,0,Metro Pl Sants,Argentina
45,river-side,5,0,Farmacia Tortras Biosca,Argentina
46,mountain-climb,4,0,María del Castañar García García,Argentina
47,honeymoon-destination,4.5,0,Clínica Dental Abril,Argentina
48,cultural-sites,4.5,0,Av del Coll del Portell 74,Argentina
49,river-side,4.5,0,Comandant Benítez-Av Madrid,Argentina
